SiteCode;SiteName;DirectionName;LaneCode;LaneName;Date;TimeFrom;TimeTo;ValuesApproved;ValuesEdited;TrafficType;Total;DateTimeFrom;DateTimeTo;Year;Month;Day;Weekday;HourFrom;DayOfYear;Zst_id
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;14:00;15:00;1;1;Velo;100;2020-01-05 14:00:00;2020-01-05 15:00:00;2020;1;5;6;14;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;15:00;16:00;1;1;Velo;107;2020-01-05 15:00:00;2020-01-05 16:00:00;2020;1;5;6;15;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;16:00;17:00;1;1;Velo;109;2020-01-05 16:00:00;2020-01-05 17:00:00;2020;1;5;6;16;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;17:00;18:00;1;1;Velo;77;2020-01-05 17:00:00;2020-01-05 18:00:00;2020;1;5;6;17;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;18:00;19:00;1;1;Velo;57;2020-01-05 18:00:00;2020-01-05 19:00:00;2020;1;5;6;18;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;19:00;20:00;1;1;Velo;41;2020-01-05 19:00:00;2020-01-05 20:00:00;2020;1;5;6;19;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;20:00;21:00;1;1;Velo;29;2020-01-05 20:00:00;2020-01-05 21:00:00;2020;1;5;6;20;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;21:00;22:00;1;1;Velo;23;2020-01-05 21:00:00;2020-01-05 22:00:00;2020;1;5;6;21;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;22:00;23:00;1;1;Velo;25;2020-01-05 22:00:00;2020-01-05 23:00:00;2020;1;5;6;22;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;23:00;00:00;1;1;Velo;13;2020-01-05 23:00:00;2020-01-06 00:00:00;2020;1;5;6;23;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;06.01.2020;00:00;01:00;1;1;Velo;9;2020-01-06 00:00:00;2020-01-06 01:00:00;2020;1;6;0;0;6;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;06.01.2020;01:00;02:00;1;1;Velo;5;2020-01-06 01:00:00;2020-01-06 02:00:00;2020;1;6;0;1;6;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;06.01.2020;02:00;03:00;1;1;Velo;0;2020-01-06 02:00:00;2020-01-06 03:00:00;2020;1;6;0;2;6;350
